Ciudad,# Centro,Centro,# Planta Mensual,# Bajas Mensual,% Rotación Mensual,Planta Promedio AM,# Bajas Anual Movil,Rotación AM
TLAHUAC D.F.,139302,,11,2,0.18181818181818182,11,12,1.0909090909090908
"TIZAYUCA, HIDALGO",73302,,10,3,0.3,11,12,1.0909090909090908
CUAJIMALPA D.F.,663301,,10,1,0.1,11,12,1.0909090909090908
VERACRUZ VER,650401,,11,0,0,11,12,1.0909090909090908
"SALTILLO, COAH.",41201,SALT 412 MUE SENDERO,10,4,0.4,11,12,1.0909090909090908
GUADALAJARA JAL,14402,GDLJ 144 ROP ARBOLEDAS,11,2,0.18181818181818182,11,12,1.0909090909090908
BENITO JUAREZ QROO,763802,,21,2,0.09523809523809523,23,25,1.0869565217391304
"MEXICALI, BCN.",658301,,11,0,0,12,13,1.0833333333333333
"TODOS SANTOS, BCS",769502,,11,1,0.09090909090909091,12,13,1.0833333333333333
IZTAPALAPA D.F.,766002,,11,1,0.09090909090909091,12,13,1.0833333333333333
"TEAPA, TABASCO",42802,TEAP 428 ROP TRUJILLO,13,0,0,12,13,1.0833333333333333
"HERMOSILLO, SON",776302,,12,1,0.08333333333333333,12,13,1.0833333333333333
GUADALAJARA JAL,84601,GDLJ 846 MUE 8 DE JULIO,11,0,0,12,13,1.0833333333333333
"CD GUZMAN, JAL",32402,CDGZ 324 ROP MADERO,12,1,0.08333333333333333,12,13,1.0833333333333333
TEHUACAN PUEBLA,44801,TEHC 448 MUE REFORMA,24,2,0.08333333333333333,24,26,1.0833333333333333
TUXTLA GUTIERRE,766202,TXGT 7662 ROP PLAZA AMBAR TUXT,14,0,0,12,13,1.0833333333333333
BOCA DEL RIO,653601,BRIO 6536 MUE EJERCITO MEXICAN,11,5,0.45454545454545453,12,13,1.0833333333333333
"CD JUAREZ, CHIU",655101,CDJZ 6551 MUE PINOCELLI,10,5,0.5,12,13,1.0833333333333333
"MEXICALI, BCN.",658301,MXLI 1583 MUE VIDAURRI,11,2,0.18181818181818182,12,13,1.0833333333333333
"TIJUANA, BCN",789701,,8,4,0.5,12,13,1.0833333333333333
MIGUEL HGO D.F.,144802,MHGO 1448 ROP TACUBAYA,12,0,0,12,13,1.0833333333333333
CHIMALHUACAN EM,667102,,13,3,0.23076923076923078,12,13,1.0833333333333333
"LEON, GTO.",27801,LEON 278 MUE MARAVILLAS,11,2,0.18181818181818182,12,13,1.0833333333333333
GUADALAJARA JAL,665601,GDLJ 6656 MUE PLAZA ATEMAJAC,9,3,0.3333333333333333,12,13,1.0833333333333333
ECATEPEC DE MOR,20001,,12,2,0.16666666666666666,13,14,1.0769230769230769
VILLA ALBERTO ALVARA,138701,VINO 1387 MUE VIZCAINO,10,3,0.3,13,14,1.0769230769230769
"LA PAZ, BCS",21201,LPAZ 212 MUE FORJADORES,19,11,0.5789473684210527,26,28,1.0769230769230769
"ZAPOPAN, JAL.",139002,ZPPN 1390 ROP PLAZA AGORA,10,3,0.3,13,14,1.0769230769230769
TLAJOMULCO DE Z,134601,TLJM 1346 MUE JUAREZ,13,1,0.07692307692307693,13,14,1.0769230769230769
SAN FCO TOTIMEHUACAN,772501,SNFT 7725 MUE SAN FRANCISCO,13,0,0,13,14,1.0769230769230769
"MAZATLAN, SIN.",8102,,13,1,0.07692307692307693,13,14,1.0769230769230769
"MEXICALI, BCN.",770101,MXLI 7701 MUE SENDERO MEXICALI,13,2,0.15384615384615385,13,14,1.0769230769230769
"LA PAZ, BCS",21202,LPAZ 212 ROP FORJADORES,26,3,0.11538461538461539,27,29,1.0740740740740742
CUAJIMALPA D.F.,651702,,14,3,0.21428571428571427,14,15,1.0714285714285714
COACALCO DE BAR,18901,CCLC 189 MUE COACALCO,13,2,0.15384615384615385,14,15,1.0714285714285714
GUADALAJARA JAL,8602,,15,1,0.06666666666666667,14,15,1.0714285714285714
LOS REYES LAPAZ,142701,,14,1,0.07142857142857142,14,15,1.0714285714285714
"LEON, GTO.",11101,,15,4,0.26666666666666666,14,15,1.0714285714285714
LOS REYES LAPAZ,142701,LPYP 1427 MUE TEPOZAN,14,2,0.14285714285714285,14,15,1.0714285714285714
GUADALAJARA JAL,8602,GDLJ 86 ROP INDEPENDENCIA2,14,1,0.07142857142857142,14,15,1.0714285714285714
COACALCO DE BAR,18901,,13,0,0,14,15,1.0714285714285714
"QUERETARO, QRO.",23301,,15,1,0.06666666666666667,15,16,1.0666666666666667
"PUENTE DE IXTLA, MOR",110102,PTIX 1101 ROP FIGUEROA,15,3,0.2,15,16,1.0666666666666667
"JUCHITAN DE Z, OAXAC",125301,JCHZ 1253 MUE LA RIVIERA,16,2,0.125,15,16,1.0666666666666667
"PUEBLA, PUEBLA.",7102,PBLA 71 ROP BLVD NORTE,15,1,0.06666666666666667,15,16,1.0666666666666667
"CD JUAREZ, CHIU",655102,,14,1,0.07142857142857142,15,16,1.0666666666666667
"MONTERREY, N.L.",11601,,11,2,0.18181818181818182,15,16,1.0666666666666667
VILLAHERMOSA,19102,,17,2,0.11764705882352941,15,16,1.0666666666666667
"QUERETARO, QRO.",23301,QRTO 233 MUE CIMATARIO,15,0,0,15,16,1.0666666666666667
"CELAYA, GTO.",40601,,14,1,0.07142857142857142,15,16,1.0666666666666667
TLALNEPANTLA DE,19202,TLNP 192 ROP JUAREZ,16,1,0.0625,16,17,1.0625
"TULTITLAN,EDO M",87102,TTLN 871 ROP PLAZA JARDINES,16,2,0.125,16,17,1.0625
TLALNEPANTLA DE,19202,,16,2,0.125,16,17,1.0625
"CD JUAREZ, CHIU",6802,CDJZ 68 ROP CD MODERNA,15,1,0.06666666666666667,16,17,1.0625
"MINERAL DE LA R,HGO",785002,,12,1,0.08333333333333333,16,17,1.0625
"NAVOJOA, SON.",11901,NVJA 119 MUE GUERRERO II,15,2,0.13333333333333333,16,17,1.0625
CHIMALHUACAN EM,25501,CHCN 255 MUE GUADALUPE,11,4,0.36363636363636365,16,17,1.0625
"IRAPUATO, GTO.",26301,IRPT 263 MUE JACARANDAS,16,2,0.125,16,17,1.0625
"NAVOJOA, SON.",11901,,16,1,0.0625,16,17,1.0625
SAN MARTIN T. P,653901,SNMT 6539 MUE EL MOLINO,16,3,0.1875,17,18,1.0588235294117647
"COMONFORT, GTO",103601,,17,3,0.17647058823529413,17,18,1.0588235294117647
"TUXPAN,VERACRUZ",45201,TXPN 452 MUE PLAZA CRISTAL,17,1,0.058823529411764705,17,18,1.0588235294117647
"TUXPAN,VERACRUZ",45201,,17,1,0.058823529411764705,17,18,1.0588235294117647
"QUERETARO, QRO.",32801,,18,2,0.1111111111111111,18,19,1.0555555555555556
HUAMANTLA,49301,,43,8,0.18604651162790697,20,21,1.05
"SAYULA DE ALEMAN, VE",797002,,20,0,0,20,21,1.05
BAHIA DE BANDERAS,135902,BDBN 1359 ROP MEZCALES,20,1,0.05,20,21,1.05
"HERMOSILLO, SON",1610,HLLO 16 GTE ELIAS CALLES,1,0,0,1,1,1
LOS REYES LAPAZ,124602,LRYP 1246 ROP TIENDA UDIS,11,3,0.2727272727272727,11,11,1
"PALENQUE, CHIAPAS",673001,,15,2,0.13333333333333333,11,11,1
NEZAHUALCOYOTL,775710,NZTL 7757 GTE CHIMALHUACAN CIN,1,0,0,1,1,1
NICOLAS ROMERO E MEX,108010,NRMR 1080 GTE TOWN CENTER,1,1,1,1,1,1
"CD JUAREZ, CHIU",29210,,1,0,0,1,1,1
"LEON, GTO.",785302,,14,3,0.21428571428571427,13,13,1
"RIO GRANDE, ZACATECA",123710,,1,0,0,1,1,1
"UMAN, YUCATAN",126910,,1,0,0,1,1,1
"HERMOSILLO, SON",21110,,2,0,0,1,1,1
"TEPEACA, PUE",333301,TPCA ZONA,1,1,1,1,1,1
MONTEMORELOS,113402,MNTM 1134 ROP SIMON BOLIVAR,15,4,0.26666666666666666,15,15,1
PEDRO ESCOBEDO,673102,,19,2,0.10526315789473684,16,16,1
"XALAPA,VERACRUZ",108610,,1,0,0,1,1,1
"DURANGO, DGO.",659402,,0,0,0,4,4,1
SANTA ROSALIA,340701,,2,0,0,1,1,1
VERACRUZ VER,17710,VRCZ 177 GTE LOS PINOS,1,0,0,1,1,1
"QUERETARO, QRO.",99101,,11,0,0,11,11,1
IZTACALCO D.F,141510,,1,0,0,1,1,1
"TIJUANA, BCN",67302,TJNA 673 -820 CANADA TIJ,7,1,0.14285714285714285,7,7,1
"TECAMAC, EDO ME",136710,,1,0,0,1,1,1
DEL COYOACAN DF,782002,,15,3,0.2,15,15,1
OAXACA OAXACA,792101,OAXC 7921 MUE OAXACA,5,0,0,5,5,1
HUEHUETOCA,91201,,13,2,0.15384615384615385,15,15,1
"MEXICALI, BCN.",45710,MXLI 457 GTE GALERIAS,1,0,0,1,1,1
"IRAPUATO, GTO.",797810,,1,0,0,1,1,1
SAN LUIS POTOSI,796110,SNLP 7961 GTE SENDERO SAN LUIS,1,0,0,1,1,1
"CD JUAREZ, CHIU",30210,CDJZ GTE 302 PONCIANO ARR,1,1,1,1,1,1
"TECAMAC, EDO ME",314201,TCMC ZONA,0,0,0,1,1,1
"EL DORADO, SIN",18510,ELDR 185 GTE MATAMOROS,1,0,0,1,1,1
"TIJUANA, BCN",9710,TJNA 97 GTE LAS BRISAS,0,1,0,1,1,1
"SALTILLO, COAH.",5110,SALT 51 GTE ALDAMA,1,0,0,1,1,1
OAXACA OAXACA,20210,OAXC 202 GTE UNIVERSIDAD,2,0,0,1,1,1
OAXACA OAXACA,86410,OAXC 864 GTE PLAZA BELLA,0,1,0,1,1,1
"SANTIAGO TUXTLA, VER",118010,SNTX 1180 BAN REVOLUCION,1,0,0,1,1,1
OAXACA OAXACA,38510,OAXC 385 GTE SANTA ROSA,1,0,0,1,1,1
AZCAPOTZALCO DF,99402,,10,2,0.2,12,12,1
"CALPULALPAN, TLX",89810,,1,0,0,1,1,1
TEHUACAN PUEBLA,58902,,4,0,0,6,6,1
"ACAPULCO, GRO",338802,,1,0,0,1,1,1
ECATEPEC DE MOR,48010,ECTP 480 GTE PABELLON,1,0,0,1,1,1
GUADALAJARA JAL,105001,GDLJ 1050 MUE R MICHEL,8,2,0.25,9,9,1
AZCAPOTZALCO DF,99402,AZCP 994 ROP EL ROSARIO,11,2,0.18181818181818182,12,12,1
TUXTLA GUTIERRE,321703,TXGT ZONA III,1,0,0,1,1,1
GUTIERREZ ZAMORA,129002,,13,1,0.07692307692307693,12,12,1
"TULTITLAN,EDO M",672110,,2,0,0,1,1,1
VILLAHERMOSA,18602,VLLH 186 ROP SAN JOAQUIN,11,1,0.09090909090909091,12,12,1
EZEQUIEL MONTES,117310,,1,0,0,1,1,1
"TELOLOAPAN, GRO",336301,TLLP ZONA,2,0,0,1,1,1
SALINAS VICTORIA NL,136210,,0,1,0,1,1,1
"MAZATLAN, SIN.",1410,MZTN 14 GTE AZUETA,1,0,0,1,1,1
TLAJOMULCO DE Z,656810,,1,0,0,1,1,1
TEQUISQUIAPAN QRTO,38310,TQQP 383 GTE PEDREGAL,1,0,0,1,1,1
CUAUTITLAN IZCA,119810,CTLZ 1198 GTE 3 DE MAYO,1,0,0,1,1,1
"PESQUERIA, NL",771501,,13,1,0.07692307692307693,13,13,1
TAMAZUNCHALE,764102,TMZN 7641 ROP LA PARROQUIA,6,1,0.16666666666666666,7,7,1
IZTAPALAPA D.F.,338702,,1,0,0,1,1,1
"CD VICTORIA,TAM",113610,CDVC 1136 GTE HIDALGO,1,0,0,1,1,1
AGUASCALIENTES,32210,AGCS 322 GTE PLAZA VELARIA,1,0,0,1,1,1
VILLA ALBERTO ALVARA,300456,,3,0,0,3,3,1
"DURANGO, DGO.",659402,DRGO 1594 ROP 20 DE NOVIEMBRE,0,0,0,4,4,1
"CARDENAS, SLP",300660,,0,0,0,1,1,1
TEHUANTEPEC,338101,THTP ZONA,1,0,0,1,1,1
"IXTEPEC, OAXACA",334201,IXTE ZONA,2,1,0.5,2,2,1
IZTAPALAPA D.F.,121410,,1,0,0,1,1,1
"SALTILLO, COAH.",127010,,2,0,0,1,1,1
"ZACATECAS, ZAC",9210,ZCTS 92 GTE ZACATECAS,1,0,0,1,1,1
"TECAMAC, EDO ME",785801,TCMC 7858 MUE PASEOS DEL BOSQ,10,1,0.1,12,12,1
"LINARES, N.L",34610,,1,0,0,1,1,1
"CD JUAREZ, CHIU",6802,,16,0,0,16,16,1
