Ciudad,# Centro,Centro,# Planta Mensual,# Bajas Mensual,% Rotación Mensual,Planta Promedio AM,# Bajas Anual Movil,Rotación AM
"MONTERREY, N.L.",27301,,10,2,0.2,12,19,1.5833333333333333
TLALNEPANTLA DE,231763,,20,2,0.1,19,30,1.5789473684210527
TLALNEPANTLA DE,231763,TLNP CAT ATN 800 CPL VP16,18,5,0.2777777777777778,19,30,1.5789473684210527
SABINAS HIDALGO NL,542401,SABH COBRANZAS,7,2,0.2857142857142857,7,11,1.5714285714285714
VILLAHERMOSA,652401,,14,2,0.14285714285714285,14,22,1.5714285714285714
"ORIZABA, VER.",754960,,8,0,0,7,11,1.5714285714285714
CULIACAN SIN.,232690,,2,0,0,7,11,1.5714285714285714
VILLA ALBERTO ALVARA,546301,,6,1,0.16666666666666666,7,11,1.5714285714285714
EL MARQUES,676202,,6,1,0.16666666666666666,7,11,1.5714285714285714
"VALLARTA, JAL.",27103,PVLL 271 CAJ FCO VILLA,7,2,0.2857142857142857,7,11,1.5714285714285714
"GUACHOCHI, CHIH",546601,GUHI COBRANZA,6,3,0.5,7,11,1.5714285714285714
STA CATARINA NL,91501,STCA 915 MUE LA PUERTA,14,0,0,14,22,1.5714285714285714
CUAUHTEMOC D.F.,131580,CTMC 1315 BAN PZA CTRO CULTURA,8,0,0,7,11,1.5714285714285714
TLALNEPANTLA DE,231364,TLNP CAT COB CPL VP2,19,0,0,16,25,1.5625
"MEXICALI, BCN.",201413,,15,1,0.06666666666666667,16,25,1.5625
TLALNEPANTLA DE,231720,TLNP CAT SE CAMP SOLYP VP,17,4,0.23529411764705882,16,25,1.5625
AGUASCALIENTES,32280,,9,0,0,9,14,1.5555555555555556
"ZAPOPAN, JAL.",88801,,12,1,0.08333333333333333,11,17,1.5454545454545454
"APODACA, N.L.",661001,APDC 6610 MUE PUEBLO NUEVO,10,1,0.1,11,17,1.5454545454545454
"MONTERREY, N.L.",136002,MTRY 1360 ROP COLON,10,3,0.3,11,17,1.5454545454545454
TLAJOMULCO DE Z,130002,TLJM 1300 ROP SAN AGUSTIN,12,0,0,11,17,1.5454545454545454
"PESQUERIA, NL",771502,,12,0,0,11,17,1.5454545454545454
"APAN, HIDALGO",764002,APAN 7640 ROP ZARAGOZA,11,4,0.36363636363636365,11,17,1.5454545454545454
"APODACA, N.L.",8901,APDC 89 MUE FRESNOS,13,0,0,13,20,1.5384615384615385
"ZAPOPAN, JAL.",245292,ZPPN CAT COB CPL VP19,11,2,0.18181818181818182,13,20,1.5384615384615385
"ALLENDE, N L",109902,ALLD 1099 ROP SAN JAVIER,10,5,0.5,13,20,1.5384615384615385
CHIMALHUACAN EM,133301,CHCN 1333 MUE LOS PATOS,10,5,0.5,13,20,1.5384615384615385
TLAQUEPAQUE,159508,TLQP EMBARQUES III,9,3,0.3333333333333333,13,20,1.5384615384615385
"GUAYMAS, SONORA",2202,GYMS 22 ROP SERDAN,17,3,0.17647058823529413,15,23,1.5333333333333334
BENITO JUAREZ QROO,39802,,15,2,0.13333333333333333,15,23,1.5333333333333334
"POZA RICA, VER.",28202,,34,3,0.08823529411764706,30,46,1.5333333333333334
CUAUTITLAN IZCA,201314,CTLZ DESCARGA I,59,1,0.01694915254237288,53,81,1.528301886792453
"MONTERREY, N.L.",200513,,35,7,0.2,38,58,1.5263157894736843
TLALNEPANTLA DE,231767,,18,3,0.16666666666666666,19,29,1.5263157894736843
BAHIA DE BANDERAS,135901,BDBN 1359 MUE MEZCALES,19,2,0.10526315789473684,23,35,1.5217391304347827
"MEXICALI, BCN.",10502,MXLI 105 ROP NVO MEXICALI,22,3,0.13636363636363635,25,38,1.52
"TONALA,JALISCO",505601,,30,4,0.13333333333333333,33,50,1.5151515151515151
"GUADALUPE, N.L.",200529,,8,3,0.375,10,15,1.5
AZCAPOTZALCO DF,210703,,4,0,0,4,6,1.5
"CHIHUAHUA, CHI",14080,,6,2,0.3333333333333333,8,12,1.5
CUAUHTEMOC D.F.,140280,CTMC 1402 BAN SALTO DEL AGUA,8,1,0.125,8,12,1.5
"TECAMAC, EDO ME",653190,,2,0,0,2,3,1.5
VILLAHERMOSA,652403,,4,0,0,4,6,1.5
"SALTILLO, COAH.",31501,SALT 315 MUE ECHEVARRIA,9,2,0.2222222222222222,10,15,1.5
"PATZCUARO, MICH",94490,,1,1,1,2,3,1.5
"SALTILLO, COAH.",9503,SALT 95 CAJ LOURDES,7,1,0.14285714285714285,6,9,1.5
IZTAPALAPA D.F.,101690,,2,0,0,2,3,1.5
"TORREON, COAH.",12890,,2,0,0,2,3,1.5
GUSTAVO A MADERO DF,138403,GAMD 1384 CAJ FORTUNA,3,0,0,2,3,1.5
"CHIAUTLA, EDO DE MEX",781102,,8,0,0,8,12,1.5
"MONCLOVA, COAH.",769480,,7,4,0.5714285714285714,8,12,1.5
"LORETO, BAJA CALIF S",539001,,4,1,0.25,4,6,1.5
ECATEPEC DE MOR,40790,,1,2,2,2,3,1.5
CHIMALHUACAN EM,667103,CHCN 6671 CAJ CARDENAS,3,0,0,2,3,1.5
"ZAPOPAN, JAL.",51403,,2,1,0.5,2,3,1.5
"ALTAMIRANO, GUERRERO",105390,,2,0,0,2,3,1.5
GUSTAVO A MADERO DF,103903,,4,0,0,4,6,1.5
MIGUEL HGO D.F.,231695,MHGO THREAT AND VULNERABILITY,1,0,0,2,3,1.5
"TECAMACHALCO,PU",76310,TMCH 763 GTE ORIENTE,0,0,0,2,3,1.5
"GUADALUPE, N.L.",200538,GDLP DISTRIBUCION III,3,0,0,2,3,1.5
"CAMARGO, CHI",115190,CMGO 1151 AFO SANTA ROSALIA,2,0,0,2,3,1.5
SAN NICOLAS N.L,659903,,2,1,0.5,2,3,1.5
MIGUEL HGO D.F.,905380,,5,0,0,4,6,1.5
"QUERETARO, QRO.",153003,QRTO DISTRIBUCION RAC,1,1,1,2,3,1.5
MIGUEL HGO D.F.,303946,MHGO COMERCIAL ECOM ROPA 2,2,0,0,2,3,1.5
TUXTLA GUTIERRE,41603,TXGT 416 CAJ PLAZA DEL SOL,3,2,0.6666666666666666,4,6,1.5
LAZARO CARDENAS,122103,,2,1,0.5,2,3,1.5
"HERMOSILLO, SON",34702,,25,6,0.24,24,36,1.5
"ROMITA, GTO",78690,,2,1,0.5,2,3,1.5
"CD VALLES, SLP",763360,#N/A,5,0,0,2,3,1.5
"GALEANA, NL",762603,GANA 7626 CAJ 5 DE MAYO,2,0,0,2,3,1.5
IZTAPALAPA D.F.,121403,IZTP 1214 CAJ ROJO GOMEZ,3,1,0.3333333333333333,4,6,1.5
VILLAHERMOSA,12003,,4,1,0.25,4,6,1.5
SAN LUIS POTOSI,117603,SNLP 1176 CAJ PLAZA MUÑOZ,3,1,0.3333333333333333,4,6,1.5
"ROSARITO, BCN",22590,RSTO 225 AFO VILLAFLORESTA,2,0,0,2,3,1.5
GUADALAJARA JAL,115980,GDLJ 1159 BAN TETLAN,7,1,0.14285714285714285,8,12,1.5
MIGUEL HGO D.F.,231695,,2,0,0,2,3,1.5
"GARCIA, NUEVO LEON",104090,GRCI 1040 AFO LAS ARBOLEDAS,2,0,0,2,3,1.5
IZTAPALAPA D.F.,653303,,4,1,0.25,4,6,1.5
"LA PAZ, BCS",767802,,5,2,0.4,6,9,1.5
TLAJOMULCO DE Z,31290,,2,0,0,2,3,1.5
AGUASCALIENTES,778180,AGCS 7781 BAN PLAZA ANTARIA,0,2,0,6,9,1.5
OAXACA OAXACA,20290,OAXC 202 AFO UNIVERSIDAD,2,0,0,2,3,1.5
"APODACA, N.L.",46890,,1,1,1,2,3,1.5
"GALEANA, NL",762603,,2,0,0,2,3,1.5
"SALTILLO, COAH.",9503,,7,0,0,6,9,1.5
"MADERA, CHIH",763303,,2,0,0,2,3,1.5
"REYNOSA, TAM.",66403,,2,0,0,2,3,1.5
"TORREON, COAH.",12890,TRRN 128 AFO SAULO,2,0,0,2,3,1.5
"CAMARGO, CHI",115190,,2,0,0,2,3,1.5
"LA PAZ, BCS",21280,,14,1,0.07142857142857142,12,18,1.5
"CHIHUAHUA, CHI",215420,,5,1,0.2,6,9,1.5
GUSTAVO A MADERO DF,103903,GAMD 1039 CAJ MISTERIOS,4,1,0.25,4,6,1.5
TLAJOMULCO DE Z,31290,TLJM 312 AFO SANTA FE,2,1,0.5,2,3,1.5
"LINARES, N.L",28680,LNRS 286 BAN ESTACION,8,1,0.125,8,12,1.5
"ZAPOPAN, JAL.",13001,ZPPN 130 MUE ZAP COPERNICO,9,0,0,10,15,1.5
"TOLUCA, EDO MEX",99903,,3,1,0.3333333333333333,4,6,1.5
MIGUEL HGO D.F.,321305,MHGO ORIGINACION Y VINCULACION,1,0,0,2,3,1.5
"TIJUANA, BCN",773701,TJNA 7737 MUE MEXICO LINDO,11,3,0.2727272727272727,12,18,1.5
CULIACAN SIN.,231491,,4,0,0,4,6,1.5
"HERMOSILLO, SON",75203,HILLO 752 CAJ ELIAS CALLES,2,0,0,2,3,1.5
CULIACAN SIN.,231491,CLCN PROD DIG APP YWHATSAPP,4,0,0,4,6,1.5
"HERMOSILLO, SON",1890,HLLO 18 AFO GUERRERO,2,0,0,2,3,1.5
"CHIHUAHUA, CHI",215414,CHUA SUMINISTROS,2,0,0,2,3,1.5
"PUEBLA, PUEBLA.",7203,,4,2,0.5,4,6,1.5
TEPOTZOTLAN,98802,TPZT 988 ROP BALNEARIO,13,2,0.15384615384615385,12,18,1.5
"ORIZABA, VER.",250324,ORZB RECURSOS HUMANOS II,2,0,0,2,3,1.5
"MADERA, CHIH",763303,CIMA 7633 CAJ TERCERA,2,1,0.5,2,3,1.5
"CHIHUAHUA, CHI",6203,CHUA 62 CAJ TECNOLOGICO,3,0,0,4,6,1.5
"ALTAMIRANO, GUERRERO",105390,ALTN 1053 AFO CARDENAS,2,0,0,2,3,1.5
"SALTILLO, COAH.",41203,SALT 412 CAJ SENDERO,3,2,0.6666666666666666,4,6,1.5
MARTINEZ DE TOR,247608,MZDT MANTENIMIENTO REGIONAL,0,0,0,2,3,1.5
A. OBREGON D.F.,479280,ALOB CZB R AZCP,3,0,0,2,3,1.5
"MEXICALI, BCN.",63703,,1,0,0,2,3,1.5
"FRESNILLO, ZAC.",769080,,8,1,0.125,8,12,1.5
VILLAHERMOSA,652401,VLLH 6524 MUE QUINTIN ARAUZ,12,4,0.3333333333333333,14,21,1.5
"REYNOSA, TAM.",89190,RYNS 891 AFO JUAREZ,1,1,1,2,3,1.5
"MEXICALI, BCN.",201413,MXLI TRASLADO,15,1,0.06666666666666667,16,24,1.5
CULIACAN SIN.,230545,,6,0,0,4,6,1.5
"CHIHUAHUA, CHI",21080,,14,3,0.21428571428571427,14,21,1.5
"ZAMORA, MICH.",5390,ZMRA 53 AFO ANA,1,0,0,2,3,1.5
"LOS MOCHIS, SIN",201514,LMCH LOTEO,8,3,0.375,10,15,1.5
CUAUHTEMOC D.F.,84003,CTMC 840 CAJ LAGUNILLA,3,2,0.6666666666666666,2,3,1.5
A. OBREGON D.F.,16790,ALOB 167 AFO OBSERVATORIO,0,1,0,2,3,1.5
"PEROTE, VERACRUZ",675180,,8,3,0.375,4,6,1.5
CULIACAN SIN.,403,,0,0,0,2,3,1.5
MIGUEL HGO D.F.,231549,,0,0,0,2,3,1.5
LERMA DE VILLADA EDM,33990,,2,0,0,2,3,1.5
CUAJIMALPA D.F.,317701,,2,0,0,2,3,1.5
LERMA DE VILLADA EDM,33990,LERM 339 AFO SENDERO,2,0,0,2,3,1.5
"LA PAZ, BCS",21280,LPAZ 212 BAN FORJADORES,12,1,0.08333333333333333,12,18,1.5
MIGUEL HGO D.F.,321305,,1,0,0,2,3,1.5
"LEON, GTO.",215301,LEON ZAPATERIA,16,4,0.25,16,24,1.5
"LINARES, N.L",28603,,4,0,0,4,6,1.5
CD CUAUHTEMOC,153802,CDCC DISTRIBUCION FORANEO,2,0,0,2,3,1.5
"CD JUAREZ, CHIU",62503,CDJZ 625 CAJ TECNOLOGICO,2,1,0.5,2,3,1.5
TLAQUEPAQUE,17590,,1,2,2,2,3,1.5
GUADALAJARA JAL,356919,,2,0,0,2,3,1.5
"HERMOSILLO, SON",75203,,2,0,0,2,3,1.5
SAN LUIS POTOSI,668080,SNLP 6680 BAN THE PARK,7,1,0.14285714285714285,6,9,1.5
"EMPALME, SONORA",6601,EMPL 66 MUE HIDALGO II,16,1,0.0625,14,21,1.5
AZCAPOTZALCO DF,210703,AZCP HABILITADO MOTOS,4,0,0,4,6,1.5
"CHIHUAHUA, CHI",151603,CHUA DISTRIBUCION FORANEO,2,0,0,2,3,1.5
IZTAPALAPA D.F.,101690,IZTP 1016 AFO LOMAS ESTRELLA,1,1,1,2,3,1.5
CUAUTITLAN IZCA,201327,,2,0,0,2,3,1.5
CULIACAN SIN.,230545,CLCN DESARROLLO COMERCIAL XII,5,0,0,4,6,1.5
"POZA RICA, VER.",28210,PZRC 282 GTE CARDENAS,1,0,0,2,3,1.5
